#KEY	ui32	00 00 07 3a
IP0b	flt 	85 f3 8a 3f
IP1b	flt 	68 34 3e 3f
IP2b	flt 	f1 fb ff 3e
IP2l	flt 	00 00 40 38
IP3b	flt 	00 00 00 00
IP4b	flt 	00 6c 33 3f
IP7b	flt 	00 ab 75 3f
IP7l	flt 	00 00 72 3b
IP8l	flt 	00 40 84 3c
IP9b	flt 	00 4c 2b 3f
IP9l	flt 	00 00 00 38
IPBR	flt 	71 2a e7 3e
IPbb	flt 	00 b0 7c 3e
IPdb	flt 	00 00 00 00
IPkl	flt 	00 00 00 00
IR4l	flt 	00 c0 0c 3c
IR5b	flt 	9d 09 88 3c
IR6b	flt 	00 00 00 00
IR8b	flt 	00 c0 1b 3d
IRab	flt 	67 1d 86 3b
IRcb	flt 	00 00 00 00
IRcl	flt 	00 30 6e 3d
IReb	flt 	00 00 00 00
IW3C	flt 	00 00 00 00
Ib0f	flt 	a9 62 e5 3e
Ib8f	flt 	85 46 74 3e
KDBG	ui8 	01
KDD0	hex_	d9 1d 1a 6c d5 e1 d9 09 00 00 b6 aa bd 86 fd 44 be 1b 21 54 ef 46 ac 62 49 cc 3d de 00 00 e7 83
KDD1	hex_	df f3 31 2d bd 7f e3 cb b1 63 00 00 61 81 5c be 00 00 63 cc 00 00 00 00 c0 e7 00 00 97 bf 00 00
KDTP	ui8 	01
KINC	ui16	9f 84
KINV	ch8*	54 56 4c 32
KINX	hex_	54 56 4c 32
LCAD	ui8 	08
LCAE	ui8 	00
LDKN	ui8 	03
LGDA	ui64	00 d0 e6 ed 02 00 00 00
LGDB	ui64	00 00 00 00 00 00 00 00
LGDC	ui64	00 00 00 00 00 00 00 00
LGDS	ui64	00 04 00 00 00 00 00 00
LGPE	flag	00
MBSE	hex_	fe 00 00 00
MBSW	hex_	00 01 00 00 00 00 00 00
MBSe	hex_	00 00 00 00 00 00 00 00
MBSw	hex_	00 00 00 00 00 00 00 00
MDSV	hex_	00 00 ff 08 00 04 00 08 00
MEKV	ui16	00 10
MEPS	hex_	00 01 02 01 02 01
MESS	ui8 	2a
MEST	hex_	15 7a 67 3d 39 33 00 00
MEWE	ui8 	01
MFIC	hex_	00 00 00 00
MFIX	flag	00
MPPR	ui32	00 00 00 16
MSAL	hex_	08
MSAM	ui8 	03
MSFL	ch8*	00 00 00 00
MSFN	ui8 	00
MSKT	ui32	00 00 00 00
MSLD	ui8 	00
MSLm	flt 	00 00 80 3f
MSLn	flt 	00 00 d4 42
MSMR	ui8 	00
MSMV	flt 	00 00 e0 40
MSOC	si32	00 00 00 12
MSOP	si32	00 00 00 02
MSSC	flag	00
MSSK	flag	00
MSSM	ui8 	00
MST3	ui32	00 00 00 00
MST6	ui64	00 00 00 00 00 00 00 00
MSTC	ui16	00 00
MSTD	ui16	00 00
MSTE	flt 	00 00 00 00
MSTF	flt 	00 00 00 00
MSX0	ui16	30 75
MSX2	ui8 	0c
MSX9	ui8 	30
MSXA	ch8*	53 44 4d 6e
MSXC	ui32	00 00 00 00
MSXD	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
MSXH	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
MSXK	ch8*	21 22 23 24 25 26 27 28 29 2a 2b 2c 2d 2e 2f 30 31 32 33 34 35 36 37 38 39 3a 3b 3c 3d 3e 3f 40
MSXL	ch8*	28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e 28 6b 6e 4e
